Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,difference
2010-03-10,1140.22,1148.26,1140.09,1145.61,5469120000,0,0,0.00472715791689312
2010-03-11,1143.96,1150.24,1138.99,1150.24,4669060000,0,0,0.005489702437148128
2010-03-12,1151.71,1153.41,1146.97,1149.99,4928160000,0,0,-0.0014934315061951595
2010-03-15,1148.53,1150.98,1141.45,1150.51,4164110000,0,0,0.0017239427790306028
2010-03-16,1150.83,1160.28,1150.35,1159.46,4369770000,0,0,0.007498935550863385
2010-03-17,1159.94,1169.84,1159.94,1166.21,4963200000,0,0,0.005405452006138233
2010-03-18,1166.13,1167.77,1161.16,1165.83,4234510000,0,0,-0.0002572611972937682
2010-03-19,1166.68,1169.2,1155.33,1159.9,5212410000,0,0,-0.005811362155861052
2010-03-22,1157.25,1167.82,1152.88,1165.81,4261680000,0,0,0.007396845971052016
2010-03-23,1166.47,1174.72,1163.83,1174.17,4411640000,0,0,0.006601112759007986
2010-03-24,1172.7,1173.04,1166.01,1167.72,4705750000,0,0,-0.004246610386288069
2010-03-25,1170.03,1180.69,1165.09,1165.73,5668900000,0,0,-0.0036751194413818062
2010-03-26,1167.58,1173.93,1161.48,1166.59,4708420000,0,0,-0.0008479076380205289
2010-03-29,1167.71,1174.85,1167.71,1173.22,4375580000,0,0,0.004718637332899428
2010-03-30,1173.75,1177.83,1168.92,1173.27,4085000000,0,0,-0.00040894568690097395
2010-03-31,1171.75,1174.56,1165.77,1169.43,4484340000,0,0,-0.0019799445274162036
2010-04-01,1171.23,1181.43,1170.69,1178.1,4006870000,0,0,0.005865628441894325
2010-04-05,1178.71,1187.73,1178.71,1187.44,3881620000,0,0,0.007406401913956798
2010-04-06,1186.01,1191.8,1182.77,1189.44,4086180000,0,0,0.0028920498140825655
2010-04-07,1188.23,1189.6,1177.25,1182.45,5101430000,0,0,-0.004864378108615312
2010-04-08,1181.75,1188.55,1175.12,1186.44,4726970000,0,0,0.003968690501375126
2010-04-09,1187.47,1194.66,1187.15,1194.37,4511570000,0,0,0.0058106731117416556
2010-04-12,1194.94,1199.2,1194.71,1196.48,4607090000,0,0,0.0012887676368687662
2010-04-13,1195.94,1199.04,1188.82,1197.3,5403580000,0,0,0.001137180795023078
2010-04-14,1198.69,1210.65,1198.69,1210.65,5760040000,0,0,0.009977558835061639
2010-04-15,1210.77,1213.92,1208.5,1211.67,5995330000,0,0,0.0007433286255854464
2010-04-16,1210.17,1210.17,1186.77,1192.13,8108470000,0,0,-0.014906996537676494
2010-04-19,1192.06,1197.87,1183.68,1197.52,6597740000,0,0,0.00458030636041813
2010-04-20,1199.04,1208.58,1199.04,1207.17,5316590000,0,0,0.006780424339471669
2010-04-21,1207.16,1210.99,1198.85,1205.94,5724310000,0,0,-0.0010106365353391657
2010-04-22,1202.52,1210.27,1190.19,1208.67,6035780000,0,0,0.005114260053886913
2010-04-23,1207.87,1217.28,1205.1,1217.28,5326060000,0,0,0.007790573488868904
2010-04-26,1217.07,1219.8,1211.07,1212.05,5647760000,0,0,-0.0041246600442045095
2010-04-27,1209.92,1211.38,1181.62,1183.71,7454540000,0,0,-0.0216625892621
2010-04-28,1184.59,1195.05,1181.81,1191.36,6342310000,0,0,0.0057150575304535595
2010-04-29,1193.3,1209.36,1193.3,1206.78,6059410000,0,0,0.011296404927511957
2010-04-30,1206.77,1207.99,1186.32,1186.69,6048260000,0,0,-0.01663945905184909
2010-05-03,1188.58,1205.13,1188.58,1202.26,4938050000,0,0,0.011509532383179984
2010-05-04,1197.5,1197.5,1168.12,1173.6,6594720000,0,0,-0.019958246346555398
2010-05-05,1169.24,1175.95,1158.15,1165.87,6795940000,0,0,-0.0028822140877836186
2010-05-06,1164.38,1167.58,1065.79,1128.15,10617810000,0,0,-0.031115271646713284
2010-05-07,1127.04,1135.13,1094.15,1110.88,9472910000,0,0,-0.014338444065871534
2010-05-10,1122.27,1163.85,1122.27,1159.73,6893700000,0,0,0.033378776943159875
2010-05-11,1156.39,1170.48,1147.71,1155.79,5842550000,0,0,-0.000518856095262097
2010-05-12,1155.43,1172.87,1155.43,1171.67,5225460000,0,0,0.014055373324216965
2010-05-13,1170.04,1173.57,1156.14,1157.44,4870640000,0,0,-0.010768862602987855
2010-05-14,1157.19,1157.19,1126.14,1135.68,6126400000,0,0,-0.018588131594638728
2010-05-17,1136.52,1141.88,1114.96,1136.94,5922920000,0,0,0.00036954915003701894
2010-05-18,1138.78,1148.66,1117.2,1120.8,6170840000,0,0,-0.015788826639034772
2010-05-19,1119.57,1124.27,1100.66,1115.05,6765800000,0,0,-0.0040372643068320715
2010-05-20,1107.34,1107.34,1071.58,1071.59,8328570000,0,0,-0.032284573843625264
2010-05-21,1067.26,1090.16,1055.9,1087.69,5452130000,0,0,0.019142476997170383
2010-05-24,1084.78,1089.95,1072.7,1073.65,5224040000,0,0,-0.010260144914176038
2010-05-25,1067.42,1074.75,1040.78,1074.03,7329580000,0,0,0.006192501545783196
2010-05-26,1075.51,1090.75,1065.59,1067.95,4521050000,0,0,-0.00702922334520362
2010-05-27,1074.27,1103.52,1074.27,1103.06,5698460000,0,0,0.0267995941429994
2010-05-28,1102.59,1102.59,1084.78,1089.41,4871210000,0,0,-0.011953672716059313
2010-06-01,1087.3,1094.77,1069.89,1070.71,5271480000,0,0,-0.015257978478800624
2010-06-02,1073.01,1098.56,1072.03,1098.38,5026360000,0,0,0.023643768464413302
2010-06-03,1098.82,1105.67,1091.81,1102.83,4995970000,0,0,0.003649369323456063
2010-06-04,1098.43,1098.43,1060.5,1064.88,6180580000,0,0,-0.030543594038764374
2010-06-07,1065.84,1071.36,1049.86,1050.47,5467560000,0,0,-0.0144205509269683
2010-06-08,1050.81,1063.15,1042.17,1062.0,6192750000,0,0,0.010648927969851882
2010-06-09,1062.75,1077.74,1052.25,1055.69,5983200000,0,0,-0.00664314278993173
2010-06-10,1058.77,1087.85,1058.77,1086.84,5144780000,0,0,0.0265118958791805
2010-06-11,1082.65,1092.25,1077.12,1091.6,4059280000,0,0,0.008266752874890147
2010-06-14,1095.0,1105.91,1089.03,1089.63,4425830000,0,0,-0.004904109589040996
2010-06-15,1091.21,1115.59,1091.21,1115.23,4644490000,0,0,0.02201226161783706
2010-06-16,1114.02,1118.74,1107.13,1114.61,5002600000,0,0,0.0005296134719304126
2010-06-17,1115.98,1117.72,1105.87,1116.04,4557760000,0,0,5.3764404379957913e-05
